,Unnamed: 0,classement,ville,idx_cout_vie,idx_loyer,idx_cout_vie_loyer,idx_courses,idx_prix_restaurants,idx_pouvoir_achat_local,Pays
3,3,4,Christchurch,"66,01","28,40","48,04","64,84","61,56","104,58",Nouvelle-Zélande
0,0,1,Lahore,"20,45","3,66","12,43","16,56","16,56","22,39",Pakistan
1,1,2,Karachi,"19,61","3,83","12,07","17,10","14,31","23,04",Pakistan
2,2,3,Islamabad,"19,51","5,58","12,85","16,07","14,97","28,46",Pakistan
3,3,4,Rawalpindi,"16,34","2,96","9,95","14,50","12,57","28,09",Pakistan
4,4,5,Faisalabad,"15,91","2,75","9,62","11,71","10,49","33,09",Pakistan
5,5,6,Multan,"15,41","2,51","9,25","14,79","11,03","22,27",Pakistan
6,6,7,Peshawar,"14,93","1,60","8,56","12,70","11,03","28,12",Pakistan
0,0,1,Haarlem,"74,00","41,20","58,32","56,86","77,42","81,96",Pays-Bas
1,1,2,Utrecht,"72,54","36,07","55,11","58,16","72,79","100,77",Pays-Bas
2,2,3,Nimègue,"71,07","30,64","51,75","56,76","71,89","97,95",Pays-Bas
3,3,4,Amsterdam,"69,45","47,68","59,04","53,82","75,22","103,74",Pays-Bas
4,4,5,Breda,"69,45","32,23","51,66","56,64","73,37","137,08",Pays-Bas
5,5,6,Maastricht,"68,59","29,72","50,01","57,10","64,89","104,32",Pays-Bas
6,6,7,Groningen,"68,34","21,40","45,91","55,52","71,46","87,97",Pays-Bas
7,7,8,Eindhoven,"66,74","31,53","49,91","54,85","65,64","120,74",Pays-Bas
8,8,9,Rotterdam,"65,55","34,02","50,48","55,98","64,73","113,62",Pays-Bas
9,9,10,Delft,"63,77","27,94","46,64","55,63","55,00","113,77",Pays-Bas
10,10,11,Enschede,"62,54","25,41","44,79","55,29","64,72","128,66",Pays-Bas
11,11,12,La Haye (Den Haag),"61,11","30,43","46,45","50,74","61,49","131,32",Pays-Bas
0,0,1,Makati,"44,68","27,26","36,36","41,61","28,75","20,61",Philippines
1,1,2,Quezon City,"40,01","10,83","26,06","38,11","21,83","20,67",Philippines
2,2,3,Manille,"37,52","18,66","28,51","35,75","24,84","25,64",Philippines
3,3,4,Cebu,"36,13","11,77","24,49","37,41","21,39","19,13",Philippines
0,0,1,Varsovie,"42,82","23,57","33,62","33,69","41,12","63,71",Pologne
1,1,2,Wroclaw,"40,04","16,93","29,00","30,63","36,44","60,40",Pologne
2,2,3,Cracovie (Cracovie),"39,99","16,72","28,87","31,21","36,93","69,99",Pologne
3,3,4,Gdynia,"39,38","15,78","28,10","30,07","37,16","57,57",Pologne
4,4,5,Gdansk,"38,64","17,17","28,38","30,43","33,69","67,70",Pologne
5,5,6,Katowice,"38,38","11,64","25,60","30,22","32,92","68,82",Pologne
6,6,7,Bialystok,"37,51","12,16","25,39","30,10","30,48","56,33",Pologne
7,7,8,Szczecin,"37,18","13,84","26,03","30,93","33,01","62,66",Pologne
8,8,9,Poznan,"36,70","13,84","25,78","29,72","33,54","63,80",Pologne
9,9,10,Lodz (Łódź),"35,91","12,63","24,78","27,45","30,98","63,12",Pologne
10,10,11,Lublin,"34,40","12,04","23,71","27,91","28,79","61,74",Pologne
0,0,1,Lisbonne,"50,61","32,36","41,89","39,76","50,24","46,28",Portugal
1,1,2,Porto,"47,16","22,72","35,48","37,70","40,44","50,24",Portugal
2,2,3,Cascais,"45,90","31,91","39,22","33,72","48,48","49,27",Portugal
3,3,4,Funchal,"44,62","22,19","33,90","32,85","38,01","54,61",Portugal
4,4,5,Coimbra,"42,60","13,92","28,89","34,27","35,64","52,63",Portugal
5,5,6,Aveiro,"41,88","16,31","29,66","35,14","34,51","48,82",Portugal
6,6,7,Leiria,"41,78","18,04","30,43","30,15","36,10","72,99",Portugal
7,7,8,Braga,"41,62","17,05","29,88","34,85","34,84","58,22",Portugal
0,0,1,Prague,"53,69","27,20","41,03","45,17","42,15","70,56",République Tchèque
1,1,2,Brno,"47,54","19,13","33,96","38,35","36,35","72,59",République Tchèque
2,2,3,Olomouc,"46,83","15,19","31,71","40,55","33,52","71,17",République Tchèque
3,3,4,Plzen,"46,67","13,14","30,64","37,50","37,38","80,65",République Tchèque
4,4,5,Ostrava,"46,64","13,83","30,96","38,40","36,09","75,50",République Tchèque
0,0,1,Bucarest,"42,26","12,83","28,19","34,57","43,55","56,62",Roumanie
1,1,2,Cluj-Napoca,"40,29","12,49","27,00","34,32","36,29","54,41",Roumanie
2,2,3,Constanta,"39,92","11,17","26,18","32,31","36,08","41,49",Roumanie
3,3,4,Brasov,"37,84","10,50","24,78","32,09","33,47","49,30",Roumanie
4,4,5,Oradea,"36,35","7,61","22,61","32,59","36,84","41,66",Roumanie
5,5,6,Timisoara,"35,86","9,76","23,39","29,82","32,06","57,89",Roumanie
6,6,7,Iasi,"35,69","9,29","23,07","29,48","32,04","52,12",Roumanie
7,7,8,Craiova,"34,25","7,45","21,44","27,92","29,19","50,84",Roumanie
8,8,9,Sibiu,"33,84","8,26","21,61","28,50","29,92","49,33",Roumanie
0,0,1,Londres,"73,21","63,82","68,72","52,10","77,05","87,83",Royaume-Uni
1,1,2,Cambridge,"68,02","42,43","55,79","54,77","70,81","98,74",Royaume-Uni
2,2,3,Guildford,"67,63","45,63","57,11","56,61","69,17","111,59",Royaume-Uni
3,3,4,Brighton,"65,50","42,46","54,49","51,51","70,37","83,17",Royaume-Uni
4,4,5,Reading,"64,51","34,27","50,06","50,36","82,87","91,99",Royaume-Uni
5,5,6,Bristol,"64,05","34,93","50,13","48,26","71,27","96,04",Royaume-Uni
6,6,7,Oxford,"63,90","42,25","53,55","52,97","61,41","102,57",Royaume-Uni
7,7,8,Manchester,"62,36","30,28","47,03","48,31","70,45","97,90",Royaume-Uni
8,8,9,Liverpool,"62,03","24,92","44,29","47,12","71,29","87,44",Royaume-Uni
9,9,10,Bournemouth,"61,86","30,93","47,08","47,45","78,64","80,92",Royaume-Uni
10,10,11,Glasgow,"61,70","26,32","44,79","46,72","69,23","109,60",Royaume-Uni
11,11,12,Nottingham,"61,00","24,55","43,58","53,83","59,75","91,90",Royaume-Uni
12,12,13,Plymouth,"60,90","23,90","43,21","45,52","62,57","70,30",Royaume-Uni
13,13,14,Leeds,"60,48","26,88","44,42","47,46","60,05","102,46",Royaume-Uni
14,14,15,Belfast,"60,26","24,73","43,28","48,51","70,99","90,80",Royaume-Uni
15,15,16,Derby,"59,90","20,26","40,95","47,22","64,11","96,24",Royaume-Uni
16,16,17,Édimbourg,"59,79","32,61","46,80","45,67","70,28","97,36",Royaume-Uni
17,17,18,Newcastle upon Tyne,"59,53","27,55","44,24","47,96","67,50","89,64",Royaume-Uni
18,18,19,Norwich,"59,37","28,49","44,61","45,01","74,53","87,37",Royaume-Uni
19,19,20,Southampton,"59,16","27,37","43,96","45,28","60,68","101,42",Royaume-Uni
20,20,21,Exeter,"58,30","27,93","43,79","43,88","62,46","90,20",Royaume-Uni
21,21,22,Sheffield,"58,29","25,14","42,45","45,12","57,85","87,89",Royaume-Uni
22,22,23,Portsmouth,"57,67","27,75","43,37","49,59","59,74","117,91",Royaume-Uni
23,23,24,Cardiff,"57,62","30,03","44,44","45,27","67,42","83,51",Royaume-Uni
24,24,25,Coventry,"57,33","22,61","40,74","43,71","50,70","141,70",Royaume-Uni
25,25,26,Birmingham,"57,18","29,34","43,87","45,05","56,97","110,90",Royaume-Uni
26,26,27,Aberdeen,"57,14","20,72","39,73","45,01","65,65","114,45",Royaume-Uni
27,27,28,Dundee,"56,57","21,75","39,93","46,21","60,15","95,87",Royaume-Uni
28,28,29,Preston,"55,91","24,18","40,75","47,66","50,82","132,54",Royaume-Uni
29,29,30,Leicester,"55,56","23,30","40,14","42,15","63,87","108,26",Royaume-Uni
0,0,1,Vladivostok,"47,84","17,96","33,56","41,74","35,33","35,36",Russie
1,1,2,Moscou,"45,03","25,36","35,63","34,61","49,15","59,99",Russie
2,2,3,Saint-Pétersbourg,"43,73","16,56","30,74","33,96","40,97","47,10",Russie
3,3,4,Iekaterinbourg,"41,04","10,92","26,64","35,33","34,98","60,09",Russie
4,4,5,Novossibirsk,"40,12","11,01","26,20","33,33","38,04","36,65",Russie
5,5,6,Kazan,"39,02","10,76","25,52","32,83","33,25","37,63",Russie
6,6,7,Krasnodar,"38,92","8,45","24,36","29,83","45,53","38,37",Russie
7,7,8,Kaliningrad,"37,77","9,28","24,15","32,80","34,78","37,98",Russie
8,8,9,Voronej,"37,75","7,37","23,23","30,61","40,41","42,41",Russie
9,9,10,Samara,"37,34","9,45","24,01","29,12","38,80","38,54",Russie
10,10,11,Nijni Novgorod,"37,05","9,94","24,09","30,42","34,46","41,98",Russie
11,11,12,Perm,"36,33","8,18","22,88","31,65","35,65","38,79",Russie
12,12,13,Oufa,"36,09","9,57","23,41","30,33","32,01","40,98",Russie
13,13,14,Rostov-sur-le-Don,"35,74","11,50","24,16","30,82","33,26","36,37",Russie
0,0,1,Belgrade,"41,42","17,68","30,08","33,44","36,86","38,20",Serbie
1,1,2,Novi Sad,"36,29","11,35","24,37","30,42","28,63","42,74",Serbie
2,2,3,Nis,"32,36","6,63","20,06","25,17","26,89","44,38",Serbie
0,0,1,Stockholm,"68,79","35,52","52,89","60,39","65,24","96,00",Suède
1,1,2,Lund,"62,63","21,73","43,08","56,07","53,95","111,19",Suède
2,2,3,Uppsala,"62,22","20,89","42,47","52,51","63,34","91,07",Suède
3,3,4,Malmö,"61,07","20,38","41,62","52,98","61,84","109,37",Suède
4,4,5,Göteborg,"60,21","24,68","43,23","53,17","56,14","104,36",Suède
0,0,1,Bâle,"126,28","45,08","87,47","133,36","118,11","121,30",Suisse
1,1,2,Zurich,"118,20","60,65","90,70","112,61","117,55","124,30",Suisse
2,2,3,Lausanne,"117,13","52,19","86,09","112,66","111,67","106,35",Suisse
3,3,4,Zoug,"115,55","64,35","91,08","108,76","125,05","130,39",Suisse
4,4,5,Berne,"113,23","37,54","77,05","114,06","106,91","134,24",Suisse
5,5,6,Genève,"104,85","67,24","86,88","98,59","112,19","113,06",Suisse
0,0,1,Taipei,"56,86","20,44","39,46","64,46","33,87","78,99",Taïwan (Chine)
1,1,2,Nouvelle Ville de Taipei,"55,91","18,53","38,04","70,32","23,98","65,70",Taïwan (Chine)
2,2,3,Kaohsiung,"48,74","11,11","30,76","56,10","24,65","68,72",Taïwan (Chine)
0,0,1,Bangkok,"49,75","22,75","36,85","48,03","25,49","29,74",Thaïlande
1,1,2,Phuket,"42,20","15,75","29,56","41,95","27,89","33,37",Thaïlande
2,2,3,Pattaya,"39,38","12,17","26,38","39,47","24,20","26,50",Thaïlande
3,3,4,Chiang Mai,"37,66","10,87","24,85","43,56","16,85","32,72",Thaïlande
0,0,1,Bursa,"35,59","5,62","21,27","24,36","30,32","26,55",Turquie
1,1,2,Istanbul,"34,37","15,90","25,54","27,59","27,57","29,57",Turquie
2,2,3,Antalya,"28,89","14,39","21,96","22,29","21,91","24,87",Turquie
3,3,4,Izmir,"28,70","6,94","18,30","24,15","19,77","29,79",Turquie
4,4,5,Ankara,"28,50","7,27","18,35","23,76","20,53","35,22",Turquie
5,5,6,Mersin,"27,85","5,62","17,22","20,36","18,07","28,07",Turquie
6,6,7,Eskisehir,"27,14","4,61","16,37","22,38","16,15","31,23",Turquie
7,7,8,Kocaeli,"26,87","5,61","16,71","22,03","15,82","40,34",Turquie
8,8,9,Konya,"24,06","3,41","14,19","19,01","15,38","35,34",Turquie
9,9,10,Adana,"23,99","3,69","14,29","18,76","16,07","38,23",Turquie
0,0,1,Kiev (Kiev),"30,50","12,24","21,78","25,30","26,70","39,56",Ukraine
1,1,2,Dnipro,"26,85","8,86","18,25","22,26","24,04","35,83",Ukraine
2,2,3,Odessa (Odesa),"26,43","7,33","17,30","22,36","22,18","33,85",Ukraine
3,3,4,Lviv,"26,01","9,42","18,08","21,85","19,96","42,76",Ukraine
4,4,5,Kharkiv,"24,33","8,63","16,83","20,48","19,38","39,96",Ukraine
